id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,adjusted points per game,value,valuePoints metric,team_name,position
1,,,80201,0,0,0,0,0,1,3.5,,0,Bernd,0.0,False,,,5.0,80201.jpg,3.7,Leno,2.3,False,,a,1,3,131,0,0,0,0,0.0,26.2,Leno,3131,0,0,11,37,1,1,0,0,1,86,11,625,702.2,0.0,2.0,70.3,42,12,436,47,327,4,198,13,,,,,,,3.703957926315762,0.7407915852631524,1.6564603418082402,Arsenal,goalkeeper
2,,,115918,0,0,0,0,0,1,2.0,,0,Rúnar Alex,0.0,False,,,4.0,115918.jpg,1.0,Rúnarsson,1.2,False,,a,1,3,1,0,0,0,0,0.0,0.2,Rúnarsson,15,0,0,0,0,0,0,0,0,0,2,0,8,16.6,0.0,0.0,1.7,351,31,347,17,340,13,357,32,,,,,,,2.2467060179188136,0.5616765044797034,1.1233530089594068,Arsenal,goalkeeper
3,,,47431,0,0,0,0,0,3,3.2,,0,Willian,0.0,False,,,6.5,47431.jpg,3.1,Borges Da Silva,0.3,False,,a,1,3,78,0,0,0,0,0.0,12.0,Willian,1398,1,7,3,17,0,0,0,0,0,0,9,306,256.2,534.8,228.0,102.3,224,96,49,36,146,85,124,71,1.0,,2.0,,,,3.189007004550535,0.4906164622385439,1.2508314573220964,Arsenal,midfielder
4,,,54694,0,0,0,0,0,4,4.2,,0,Pierre-Emerick,0.0,False,,,10.0,54694.jpg,4.5,Aubameyang,3.9,False,,a,1,3,131,0,0,0,0,0.0,13.1,Aubameyang,2330,10,3,10,26,1,0,0,2,0,0,11,358,493.8,361.5,823.0,167.4,125,18,90,12,32,16,50,18,,,,,1.0,,4.597090025630224,0.4597090025630224,1.453727508983334,Arsenal,forward
5,,,58822,0,0,0,0,0,2,2.7,,0,Cédric,0.0,False,,,4.5,58822.jpg,2.8,Soares,0.3,False,,a,1,3,28,0,0,0,0,0.0,6.2,Cédric,744,0,1,2,11,0,0,0,1,0,0,3,125,110.8,114.8,66.0,29.2,298,109,209,52,265,87,295,101,,,5.0,,,,3.413810990294504,0.7586246645098897,1.6092859339509378,Arsenal,defender
6,,,59966,0,0,0,0,0,4,3.7,,0,Alexandre,0.0,False,,,8.5,59966.jpg,4.2,Lacazette,4.5,False,,a,1,3,129,0,0,0,0,0.0,15.2,Lacazette,1916,13,3,7,21,0,0,0,3,0,0,21,452,602.4,307.4,797.0,170.4,64,8,113,18,36,18,48,17,,,3.0,,2.0,,3.76935834511114,0.4434539229542518,1.292879246163338,Arsenal,forward
7,,,84450,0,0,0,0,0,3,2.4,,0,Granit,0.0,False,,,5.0,84450.jpg,2.3,Xhaka,0.7,False,,a,1,3,70,0,0,0,0,0.0,14.0,Xhaka,2519,1,2,10,27,0,0,0,7,1,0,1,396,456.0,327.6,154.0,94.0,145,55,102,66,191,103,140,78,,,1.0,,,,2.2614883434694435,0.4522976686938887,1.0113683332642136,Arsenal,midfielder
8,,,92371,0,0,0,0,0,2,2.7,,0,Pablo,0.0,False,,,4.5,92371.jpg,3.4,Marí,0.2,False,,a,1,3,34,0,0,0,0,0.0,7.6,Marí,900,0,0,4,8,0,0,0,2,0,0,1,182,163.2,26.4,16.0,20.6,273,102,298,107,310,117,310,108,,,,,,,3.046706017918814,0.6770457817597364,1.4362309903681707,Arsenal,defender
9,,,98745,0,0,0,0,0,2,3.2,,0,Héctor,0.0,False,,,5.0,98745.jpg,3.8,Bellerín,0.9,False,,a,1,3,94,0,0,0,0,0.0,18.8,Bellerín,2089,1,3,7,24,0,0,0,8,0,0,17,421,362.8,351.8,232.0,94.7,181,68,96,20,145,26,139,33,,,,,,,3.8870248142042256,0.7774049628408451,1.7383303429578278,Arsenal,defender
10,,,101184,0,0,0,0,0,2,2.7,,0,Calum,0.0,False,,,4.5,101184.jpg,3.6,Chambers,0.6,False,,a,1,3,36,0,0,0,0,0.0,8.0,Chambers,751,0,3,2,10,0,0,0,0,0,0,3,168,171.8,169.4,77.0,41.9,266,98,174,39,260,86,264,88,,,,,,,4.068020935045886,0.9040046522324191,1.9176834594531904,Arsenal,defender
