,name,team,opp_team,was_home,gameweek,xP,std
0,Granit Xhaka,Arsenal,Fulham,0,27,3.0409997,0.1563245
1,Granit Xhaka,Arsenal,Crystal Palace,1,28,3.378558,0.085106194
2,Granit Xhaka,Arsenal,Leeds United,1,29,3.1147184,0.13271315
3,Granit Xhaka,Arsenal,Liverpool,0,30,2.3868985,0.12520893
4,Granit Xhaka,Arsenal,West Ham,0,31,2.7973475,0.16342895
5,Granit Xhaka,Arsenal,Southampton,1,32,3.3269894,0.067406975
6,Granit Xhaka,Arsenal,Manchester City,0,33,2.1492622,0.12916996
7,Granit Xhaka,Arsenal,Chelsea,1,34,2.8092103,0.113800414
8,Granit Xhaka,Arsenal,Newcastle Utd,0,35,2.6320615,0.14311326
9,Granit Xhaka,Arsenal,Brighton,1,36,2.6768625,0.13709444
10,Mohamed Elneny,Arsenal,Fulham,0,27,2.456757,0.18740448
11,Mohamed Elneny,Arsenal,Crystal Palace,1,28,2.674597,0.20378853
12,Mohamed Elneny,Arsenal,Leeds United,1,29,2.5314395,0.1647835
13,Mohamed Elneny,Arsenal,Liverpool,0,30,2.0097642,0.25153676
14,Mohamed Elneny,Arsenal,West Ham,0,31,2.2617161,0.23087132
15,Mohamed Elneny,Arsenal,Southampton,1,32,2.625156,0.20459318
16,Mohamed Elneny,Arsenal,Manchester City,0,33,1.8142462,0.203596
17,Mohamed Elneny,Arsenal,Chelsea,1,34,2.3243804,0.19046558
18,Mohamed Elneny,Arsenal,Newcastle Utd,0,35,2.170558,0.2373949
19,Mohamed Elneny,Arsenal,Brighton,1,36,2.278562,0.19390014
20,Rob Holding,Arsenal,Fulham,0,27,2.6026618,0.2443775
21,Rob Holding,Arsenal,Crystal Palace,1,28,2.896815,0.26580113
22,Rob Holding,Arsenal,Leeds United,1,29,2.6386209,0.21921693
23,Rob Holding,Arsenal,Liverpool,0,30,1.9901651,0.30228442
24,Rob Holding,Arsenal,West Ham,0,31,2.356762,0.28376102
25,Rob Holding,Arsenal,Southampton,1,32,2.8405678,0.26093102
26,Rob Holding,Arsenal,Manchester City,0,33,1.7522681,0.27976525
27,Rob Holding,Arsenal,Chelsea,1,34,2.3672023,0.23899996
28,Rob Holding,Arsenal,Newcastle Utd,0,35,2.2476642,0.27873
29,Rob Holding,Arsenal,Brighton,1,36,2.3107555,0.22631206
30,Thomas Partey,Arsenal,Fulham,0,27,3.016448,0.14557287
31,Thomas Partey,Arsenal,Crystal Palace,1,28,3.3373902,0.13548794
32,Thomas Partey,Arsenal,Leeds United,1,29,3.102078,0.09256245
