,name,team,opp_team,was_home,gameweek,xP
0,Cedric Alves Soares,Arsenal,Crystal Palace,0,1,2.9781194
1,Cedric Alves Soares,Arsenal,Leicester City,1,2,2.8284187
2,Cedric Alves Soares,Arsenal,Bournemouth,0,3,2.9978676
3,Cedric Alves Soares,Arsenal,Fulham,1,4,3.2863653
4,Cedric Alves Soares,Arsenal,Aston Villa,1,5,3.1162422
5,Cedric Alves Soares,Arsenal,Manchester Utd,0,6,2.4005065
6,Cedric Alves Soares,Arsenal,Everton,1,7,3.278042
7,Cedric Alves Soares,Arsenal,Brentford,0,8,2.7807233
8,Cedric Alves Soares,Arsenal,Tottenham,1,9,2.2111118
9,Cedric Alves Soares,Arsenal,Liverpool,1,10,2.4585445
10,Granit Xhaka,Arsenal,Crystal Palace,0,1,2.6775265
11,Granit Xhaka,Arsenal,Leicester City,1,2,2.8636491
12,Granit Xhaka,Arsenal,Bournemouth,0,3,2.5294974
13,Granit Xhaka,Arsenal,Fulham,1,4,2.6354532
14,Granit Xhaka,Arsenal,Aston Villa,1,5,2.7563012
15,Granit Xhaka,Arsenal,Manchester Utd,0,6,2.2865837
16,Granit Xhaka,Arsenal,Everton,1,7,3.032127
17,Granit Xhaka,Arsenal,Brentford,0,8,2.4869437
18,Granit Xhaka,Arsenal,Tottenham,1,9,2.2815776
19,Granit Xhaka,Arsenal,Liverpool,1,10,2.3697796
20,Rob Holding,Arsenal,Crystal Palace,0,1,2.5336022
21,Rob Holding,Arsenal,Leicester City,1,2,2.653291
22,Rob Holding,Arsenal,Bournemouth,0,3,2.7078652
23,Rob Holding,Arsenal,Fulham,1,4,2.897372
24,Rob Holding,Arsenal,Aston Villa,1,5,2.7198792
25,Rob Holding,Arsenal,Manchester Utd,0,6,2.326788
26,Rob Holding,Arsenal,Everton,1,7,3.086968
27,Rob Holding,Arsenal,Brentford,0,8,2.5338469
28,Rob Holding,Arsenal,Tottenham,1,9,2.073161
29,Rob Holding,Arsenal,Liverpool,1,10,2.3124928
30,Thomas Partey,Arsenal,Crystal Palace,0,1,2.8703957
31,Thomas Partey,Arsenal,Leicester City,1,2,2.8682327
32,Thomas Partey,Arsenal,Bournemouth,0,3,2.806756
33,Thomas Partey,Arsenal,Fulham,1,4,2.831187
34,Thomas Partey,Arsenal,Aston Villa,1,5,2.9285884
35,Thomas Partey,Arsenal,Manchester Utd,0,6,2.3253114
36,Thomas Partey,Arsenal,Everton,1,7,3.3095703
37,Thomas Partey,Arsenal,Brentford,0,8,2.64082
38,Thomas Partey,Arsenal,Tottenham,1,9,2.319831
39,Thomas Partey,Arsenal,Liverpool,1,10,2.4890919
40,Martin degaard,Arsenal,Crystal Palace,0,1,3.7138393
41,Martin degaard,Arsenal,Leicester City,1,2,3.5975654
42,Martin degaard,Arsenal,Bournemouth,0,3,3.5434816
43,Martin degaard,Arsenal,Fulham,1,4,4.2632422
44,Martin degaard,Arsenal,Aston Villa,1,5,3.9360611
45,Martin degaard,Arsenal,Manchester Utd,0,6,2.9231563
46,Martin degaard,Arsenal,Everton,1,7,4.546545
47,Martin degaard,Arsenal,Brentford,0,8,3.2889168
48,Martin degaard,Arsenal,Tottenham,1,9,2.8124552
49,Martin degaard,Arsenal,Liverpool,1,10,3.0392876
50,Kieran Tierney,Arsenal,Crystal Palace,0,1,3.487036
51,Kieran Tierney,Arsenal,Leicester City,1,2,3.5248568
52,Kieran Tierney,Arsenal,Bournemouth,0,3,3.5410395
53,Kieran Tierney,Arsenal,Fulham,1,4,4.110618
54,Kieran Tierney,Arsenal,Aston Villa,1,5,3.811019
55,Kieran Tierney,Arsenal,Manchester Utd,0,6,3.0624363
56,Kieran Tierney,Arsenal,Everton,1,7,4.3386545
57,Kieran Tierney,Arsenal,Brentford,0,8,3.2186959
58,Kieran Tierney,Arsenal,Tottenham,1,9,2.617377
59,Kieran Tierney,Arsenal,Liverpool,1,10,3.1048107
60,Nicolas Pepe,Arsenal,Crystal Palace,0,1,2.2927554
61,Nicolas Pepe,Arsenal,Leicester City,1,2,2.4146614
62,Nicolas Pepe,Arsenal,Bournemouth,0,3,2.7951567
63,Nicolas Pepe,Arsenal,Fulham,1,4,2.9181387
64,Nicolas Pepe,Arsenal,Aston Villa,1,5,2.773041
65,Nicolas Pepe,Arsenal,Manchester Utd,0,6,2.4941673
66,Nicolas Pepe,Arsenal,Everton,1,7,2.9517355
67,Nicolas Pepe,Arsenal,Brentford,0,8,2.6158836
68,Nicolas Pepe,Arsenal,Tottenham,1,9,2.4287584
69,Nicolas Pepe,Arsenal,Liverpool,1,10,2.5634713
70,Benjamin White,Arsenal,Crystal Palace,0,1,3.3573883
71,Benjamin White,Arsenal,Leicester City,1,2,3.3566935
72,Benjamin White,Arsenal,Bournemouth,0,3,3.3309011
73,Benjamin White,Arsenal,Fulham,1,4,3.7695348
74,Benjamin White,Arsenal,Aston Villa,1,5,3.55489
75,Benjamin White,Arsenal,Manchester Utd,0,6,2.6618817
76,Benjamin White,Arsenal,Everton,1,7,3.8417578
77,Benjamin White,Arsenal,Brentford,0,8,2.9010105
78,Benjamin White,Arsenal,Tottenham,1,9,2.48858
79,Benjamin White,Arsenal,Liverpool,1,10,2.821892
80,Eddie Nketiah,Arsenal,Crystal Palace,0,1,3.215783
81,Eddie Nketiah,Arsenal,Leicester City,1,2,3.1724908
82,Eddie Nketiah,Arsenal,Bournemouth,0,3,3.1827626
83,Eddie Nketiah,Arsenal,Fulham,1,4,3.364534
84,Eddie Nketiah,Arsenal,Aston Villa,1,5,3.375384
85,Eddie Nketiah,Arsenal,Manchester Utd,0,6,2.6077588
86,Eddie Nketiah,Arsenal,Everton,1,7,3.2610023
87,Eddie Nketiah,Arsenal,Brentford,0,8,2.7870252
88,Eddie Nketiah,Arsenal,Tottenham,1,9,2.3048906
89,Eddie Nketiah,Arsenal,Liverpool,1,10,2.6521661
90,Emile Smith Rowe,Arsenal,Crystal Palace,0,1,2.4491043
91,Emile Smith Rowe,Arsenal,Leicester City,1,2,2.7812538
92,Emile Smith Rowe,Arsenal,Bournemouth,0,3,2.7102365
93,Emile Smith Rowe,Arsenal,Fulham,1,4,2.9211996
94,Emile Smith Rowe,Arsenal,Aston Villa,1,5,2.7384496
95,Emile Smith Rowe,Arsenal,Manchester Utd,0,6,2.5602705
96,Emile Smith Rowe,Arsenal,Everton,1,7,3.1537416
97,Emile Smith Rowe,Arsenal,Brentford,0,8,2.610594
98,Emile Smith Rowe,Arsenal,Tottenham,1,9,2.361788
99,Emile Smith Rowe,Arsenal,Liverpool,1,10,2.5098832
100,Bukayo Saka,Arsenal,Crystal Palace,0,1,4.128421
101,Bukayo Saka,Arsenal,Leicester City,1,2,4.492983
102,Bukayo Saka,Arsenal,Bournemouth,0,3,4.204753
103,Bukayo Saka,Arsenal,Fulham,1,4,4.747644
104,Bukayo Saka,Arsenal,Aston Villa,1,5,4.5610776
105,Bukayo Saka,Arsenal,Manchester Utd,0,6,4.3152914
106,Bukayo Saka,Arsenal,Everton,1,7,4.920288
107,Bukayo Saka,Arsenal,Brentford,0,8,4.396153
108,Bukayo Saka,Arsenal,Tottenham,1,9,3.552638
109,Bukayo Saka,Arsenal,Liverpool,1,10,3.8886294
110,Takehiro Tomiyasu,Arsenal,Crystal Palace,0,1,3.2821584
111,Takehiro Tomiyasu,Arsenal,Leicester City,1,2,2.762013
112,Takehiro Tomiyasu,Arsenal,Bournemouth,0,3,3.1383662
113,Takehiro Tomiyasu,Arsenal,Fulham,1,4,3.5898051
114,Takehiro Tomiyasu,Arsenal,Aston Villa,1,5,3.197737
115,Takehiro Tomiyasu,Arsenal,Manchester Utd,0,6,2.583821
116,Takehiro Tomiyasu,Arsenal,Everton,1,7,3.6202123
117,Takehiro Tomiyasu,Arsenal,Brentford,0,8,2.8702176
118,Takehiro Tomiyasu,Arsenal,Tottenham,1,9,2.1768162
119,Takehiro Tomiyasu,Arsenal,Liverpool,1,10,2.6188052
120,Aaron Ramsdale,Arsenal,Crystal Palace,0,1,3.3410037
121,Aaron Ramsdale,Arsenal,Leicester City,1,2,3.3095744
122,Aaron Ramsdale,Arsenal,Bournemouth,0,3,3.2898836
123,Aaron Ramsdale,Arsenal,Fulham,1,4,3.8782225
124,Aaron Ramsdale,Arsenal,Aston Villa,1,5,3.6525161
125,Aaron Ramsdale,Arsenal,Manchester Utd,0,6,3.1665626
126,Aaron Ramsdale,Arsenal,Everton,1,7,3.7961123
127,Aaron Ramsdale,Arsenal,Brentford,0,8,3.2764297
128,Aaron Ramsdale,Arsenal,Tottenham,1,9,2.8201501
129,Aaron Ramsdale,Arsenal,Liverpool,1,10,3.009431
130,Gabriel dos Santos Magalhaes,Arsenal,Crystal Palace,0,1,3.5294063
131,Gabriel dos Santos Magalhaes,Arsenal,Leicester City,1,2,3.4699621
132,Gabriel dos Santos Magalhaes,Arsenal,Bournemouth,0,3,3.549008
133,Gabriel dos Santos Magalhaes,Arsenal,Fulham,1,4,4.045162
