,name,team,opp_team,was_home,gameweek,xP
0,Granit Xhaka,Arsenal,Wolves,0,16,3.4562976
1,Granit Xhaka,Arsenal,West Ham,1,17,3.3635044
2,Granit Xhaka,Arsenal,Brighton,0,18,2.6938243
3,Granit Xhaka,Arsenal,Newcastle Utd,1,19,3.0739062
4,Granit Xhaka,Arsenal,Tottenham,0,20,2.65695
5,Granit Xhaka,Arsenal,Manchester Utd,1,21,2.9469833
6,Granit Xhaka,Arsenal,Everton,0,22,3.0964668
7,Granit Xhaka,Arsenal,Brentford,1,23,3.1283176
8,Granit Xhaka,Arsenal,Aston Villa,0,24,2.9519794
9,Granit Xhaka,Arsenal,Leicester City,0,25,2.9687808
10,Mohamed Elneny,Arsenal,Wolves,0,16,2.167303
11,Mohamed Elneny,Arsenal,West Ham,1,17,2.2655916
12,Mohamed Elneny,Arsenal,Brighton,0,18,2.0467825
13,Mohamed Elneny,Arsenal,Newcastle Utd,1,19,2.3814738
14,Mohamed Elneny,Arsenal,Tottenham,0,20,2.2158723
15,Mohamed Elneny,Arsenal,Manchester Utd,1,21,2.3937411
16,Mohamed Elneny,Arsenal,Everton,0,22,2.368167
17,Mohamed Elneny,Arsenal,Brentford,1,23,2.4459412
18,Mohamed Elneny,Arsenal,Aston Villa,0,24,2.5944097
19,Mohamed Elneny,Arsenal,Leicester City,0,25,2.4490592
20,Rob Holding,Arsenal,Wolves,0,16,2.2019134
21,Rob Holding,Arsenal,West Ham,1,17,2.2378838
22,Rob Holding,Arsenal,Brighton,0,18,2.072264
23,Rob Holding,Arsenal,Newcastle Utd,1,19,2.465161
24,Rob Holding,Arsenal,Tottenham,0,20,2.2570627
25,Rob Holding,Arsenal,Manchester Utd,1,21,2.5286946
26,Rob Holding,Arsenal,Everton,0,22,2.5270994
27,Rob Holding,Arsenal,Brentford,1,23,2.6770408
28,Rob Holding,Arsenal,Aston Villa,0,24,2.6648784
29,Rob Holding,Arsenal,Leicester City,0,25,2.6255202
30,Thomas Partey,Arsenal,Wolves,0,16,3.2957606
31,Thomas Partey,Arsenal,West Ham,1,17,3.0184324
32,Thomas Partey,Arsenal,Brighton,0,18,2.7416248
33,Thomas Partey,Arsenal,Newcastle Utd,1,19,2.88687
34,Thomas Partey,Arsenal,Tottenham,0,20,2.5714262
35,Thomas Partey,Arsenal,Manchester Utd,1,21,2.8346295
36,Thomas Partey,Arsenal,Everton,0,22,2.9267552
37,Thomas Partey,Arsenal,Brentford,1,23,2.9540563
38,Thomas Partey,Arsenal,Aston Villa,0,24,2.800528
39,Thomas Partey,Arsenal,Leicester City,0,25,2.7568696
40,Martin degaard,Arsenal,Wolves,0,16,5.07048
41,Martin degaard,Arsenal,West Ham,1,17,4.6319838
42,Martin degaard,Arsenal,Brighton,0,18,3.7172472
43,Martin degaard,Arsenal,Newcastle Utd,1,19,4.393871
44,Martin degaard,Arsenal,Tottenham,0,20,3.7180858
