,Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2024-08-16,20:00,Manchester Utd,2.4,1–0,0.4,Fulham,73297.0,Old Trafford,,Match Report,
1,1.0,Sat,2024-08-17,12:30,Ipswich Town,0.5,0–2,2.6,Liverpool,30014.0,Portman Road Stadium,,Match Report,
2,1.0,Sat,2024-08-17,15:00,Newcastle Utd,0.3,1–0,1.8,Southampton,52196.0,St James' Park,,Match Report,
3,1.0,Sat,2024-08-17,15:00,Nott'ham Forest,1.3,1–1,1.2,Bournemouth,29763.0,The City Ground,,Match Report,
4,1.0,Sat,2024-08-17,15:00,Everton,0.5,0–3,1.4,Brighton,,Goodison Park,,Match Report,
5,1.0,Sat,2024-08-17,15:00,Arsenal,1.2,2–0,0.5,Wolves,60261.0,Emirates Stadium,,Match Report,
6,1.0,Sat,2024-08-17,17:30,West Ham,2.3,1–2,2.0,Aston Villa,62463.0,London Stadium,,Match Report,
7,1.0,Sun,2024-08-18,14:00,Brentford,1.6,2–1,1.2,Crystal Palace,16988.0,Gtech Community Stadium,,Match Report,
8,1.0,Sun,2024-08-18,16:30,Chelsea,1.0,0–2,0.8,Manchester City,39818.0,Stamford Bridge,,Match Report,
9,1.0,Mon,2024-08-19,20:00,Leicester City,1.0,1–1,1.2,Tottenham,31977.0,King Power Stadium,,Match Report,
11,2.0,Sat,2024-08-24,12:30,Brighton,2.1,2–1,1.4,Manchester Utd,31537.0,The American Express Stadium,,Match Report,
12,2.0,Sat,2024-08-24,15:00,Tottenham,2.4,4–0,1.0,Everton,61357.0,Tottenham Hotspur Stadium,,Match Report,
13,2.0,Sat,2024-08-24,15:00,Fulham,1.8,2–1,0.6,Leicester City,25401.0,Craven Cottage,,Match Report,
14,2.0,Sat,2024-08-24,15:00,Crystal Palace,1.3,0–2,1.4,West Ham,25099.0,Selhurst Park,,Match Report,
15,2.0,Sat,2024-08-24,15:00,Manchester City,3.3,4–1,0.3,Ipswich Town,,Etihad Stadium,,Match Report,
16,2.0,Sat,2024-08-24,15:00,Southampton,0.1,0–1,2.2,Nott'ham Forest,31150.0,St Mary's Stadium,,Match Report,
17,2.0,Sat,2024-08-24,17:30,Aston Villa,1.2,0–2,0.9,Arsenal,,Villa Park,,Match Report,
18,2.0,Sun,2024-08-25,14:00,Bournemouth,2.2,1–1,1.6,Newcastle Utd,11161.0,Vitality Stadium,,Match Report,
19,2.0,Sun,2024-08-25,14:00,Wolves,1.9,2–6,1.6,Chelsea,31235.0,Molineux Stadium,,Match Report,
20,2.0,Sun,2024-08-25,16:30,Liverpool,2.5,2–0,0.5,Brentford,,Anfield,,Match Report,
22,3.0,Sat,2024-08-31,12:30,Arsenal,2.1,1–1,1.8,Brighton,60326.0,Emirates Stadium,Chris Kavanagh,Match Report,
23,3.0,Sat,2024-08-31,15:00,Everton,1.8,2–3,2.2,Bournemouth,38805.0,Goodison Park,Stuart Attwell,Match Report,
24,3.0,Sat,2024-08-31,15:00,Leicester City,0.4,1–2,1.4,Aston Villa,31725.0,King Power Stadium,David Coote,Match Report,
25,3.0,Sat,2024-08-31,15:00,Nott'ham Forest,1.0,1–1,0.7,Wolves,29918.0,The City Ground,Simon Hooper,Match Report,
26,3.0,Sat,2024-08-31,15:00,Ipswich Town,0.4,1–1,0.9,Fulham,29517.0,Portman Road Stadium,Lewis Smith,Match Report,
27,3.0,Sat,2024-08-31,15:00,Brentford,2.8,3–1,1.5,Southampton,16955.0,Gtech Community Stadium,Joshua Smith,Match Report,
28,3.0,Sat,2024-08-31,17:30,West Ham,0.7,1–3,3.0,Manchester City,,London Stadium,Michael Oliver,Match Report,
29,3.0,Sun,2024-09-01,13:30,Newcastle Utd,1.5,2–1,1.2,Tottenham,52211.0,St James' Park,Robert Jones,Match Report,
30,3.0,Sun,2024-09-01,13:30,Chelsea,2.3,1–1,0.4,Crystal Palace,,Stamford Bridge,Jarred Gillett,Match Report,
31,3.0,Sun,2024-09-01,16:00,Manchester Utd,1.4,0–3,1.7,Liverpool,73738.0,Old Trafford,Anthony Taylor,Match Report,
