,index,first_name,second_name,assists,bonus,bps,clean_sheets,corners_and_indirect_freekicks_order,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,dreamteam_count,element_type,event_points,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,influence,influence_rank,influence_rank_type,minutes,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,points_per_game,red_cards,saves,selected_by_percent,threat,threat_rank,threat_rank_type,total_points,web_name,yellow_cards,team_name,gameweek,season,gameweek_xG,gameweek_xA,gameweek_xGA,gameweek_minutes,team_xG,team_xGA,team_xG_ewm_5,team_xG_ewm_10,team_xG_ewm_20,team_xG_ewm_40,team_xGA_ewm_5,team_xGA_ewm_10,team_xGA_ewm_20,team_xGA_ewm_40,opponent_xG,opponent_xGA,opponent_xG_ewm_5,opponent_xG_ewm_10,opponent_xG_ewm_20,opponent_xG_ewm_40,opponent_xGA_ewm_5,opponent_xGA_ewm_10,opponent_xGA_ewm_20,opponent_xGA_ewm_40,home,gameweek_assists,gameweek_bps,gameweek_creativity,gameweek_goals_scored,gameweek_goals_conceded,gameweek_own_goals,gameweek_penalties_saved,gameweek_red_cards,gameweek_saves,gameweek_threat,gameweek_yellow_cards,gameweek_xPoints,gameweek_assists_ewm_5,gameweek_bps_ewm_5,gameweek_creativity_ewm_5,event_points_ewm_5,gameweek_goals_scored_ewm_5,gameweek_goals_conceded_ewm_5,gameweek_saves_ewm_5,gameweek_threat_ewm_5,gameweek_xG_ewm_5,gameweek_xA_ewm_5,gameweek_xGA_ewm_5,gameweek_minutes_ewm_5,gameweek_xPoints_ewm_5,gameweek_assists_ewm_10,gameweek_bps_ewm_10,gameweek_creativity_ewm_10,event_points_ewm_10,gameweek_goals_scored_ewm_10,gameweek_goals_conceded_ewm_10,gameweek_saves_ewm_10,gameweek_threat_ewm_10,gameweek_xG_ewm_10,gameweek_xA_ewm_10,gameweek_xGA_ewm_10,gameweek_minutes_ewm_10,gameweek_xPoints_ewm_10,gameweek_assists_ewm_20,gameweek_bps_ewm_20,gameweek_creativity_ewm_20,event_points_ewm_20,gameweek_goals_scored_ewm_20,gameweek_goals_conceded_ewm_20,gameweek_saves_ewm_20,gameweek_threat_ewm_20,gameweek_xG_ewm_20,gameweek_xA_ewm_20,gameweek_xGA_ewm_20,gameweek_minutes_ewm_20,gameweek_xPoints_ewm_20,gameweek_assists_ewm_40,gameweek_bps_ewm_40,gameweek_creativity_ewm_40,event_points_ewm_40,gameweek_goals_scored_ewm_40,gameweek_goals_conceded_ewm_40,gameweek_saves_ewm_40,gameweek_threat_ewm_40,gameweek_xG_ewm_40,gameweek_xA_ewm_40,gameweek_xGA_ewm_40,gameweek_minutes_ewm_40,gameweek_xPoints_ewm_40,gameweek_assists_expanding,gameweek_bps_expanding,gameweek_creativity_expanding,event_points_expanding,gameweek_goals_scored_expanding,gameweek_goals_conceded_expanding,gameweek_saves_expanding,gameweek_threat_expanding,gameweek_xG_expanding,gameweek_xA_expanding,gameweek_xGA_expanding,gameweek_minutes_expanding,gameweek_xPoints_expanding,gameweek_assists_expanding_per90,gameweek_bps_expanding_per90,gameweek_creativity_expanding_per90,event_points_expanding_per90,gameweek_goals_scored_expanding_per90,gameweek_goals_conceded_expanding_per90,gameweek_saves_expanding_per90,gameweek_threat_expanding_per90,gameweek_xG_expanding_per90,gameweek_xA_expanding_per90,gameweek_xGA_expanding_per90,gameweek_minutes_expanding_per90,gameweek_xPoints_expanding_per90,xG_overperformance,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,form,id,in_dreamteam,news,news_added,photo,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,name,data_retrieved_datetime
0,1,Aaron,Cresswell,0,0,71,0,3.0,77.2,338,114,1.0,0,2,1,11,0,13.9,440,159,58.8,441,167,431,42,0,0,,0,0.9,0,0,0.3,2.0,474,176,10,Cresswell,1,West Ham,38,23-24,0.0,0.01,2.01,90.0,0.4,1.9,1.561561274386628,1.4549264928063912,1.4041786363678124,1.3732195052171623,2.0268811824717585,1.985101358571586,1.876066384767721,1.7290000801407406,1.9,0.4,2.5116750400625936,2.3486148809705667,2.2172562769189126,2.160030303168506,0.9399861715254784,0.948607760634126,0.9455363827180322,0.9095190002834088,0.0,0.0,11.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0643121470785357,0.0162654957582707,8.198365485005068,7.284800851059173,1.148473541493765,0.0045336114623072,1.2455789217428883,0.0,0.6098040314305088,0.0017795427013242,0.0294586599936202,0.7708682867884525,44.38335297900515,1.5921363426949122,0.0656865032616116,11.561315210109676,11.521439037422557,1.7038380928403565,0.0176792831466755,1.2698958757342564,0.0,1.2702382110851231,0.0069540912513366,0.0541570688777652,0.8407991449218706,52.42675808379809,2.079517244436886,0.1207514584334442,14.287617686465762,14.9398991167173,2.2884060812904305,0.0270073274191937,1.3079159057468697,0.0,1.8312712783484892,0.0114624900591174,0.0763618364951148,0.9510787907909084,60.80517194588886,2.5080555914810807,0.1577508220046918,15.79475913165092,16.838340470858338,2.659141694131048,0.0308384587014294,1.3236452792897972,0.0,2.1059005406397766,0.0138487516593072,0.090489015762365,1.0151902632420011,65.6619723042822,2.7575909438815027,6.0,519.0,562.0,98.0,1.0,40.0,0.0,70.0,0.5127999999999997,3.39947,34.4366,2256.0,90.45493748617596,0.2393617021276595,20.704787234042552,22.420212765957448,3.9095744680851054,0.0398936170212766,1.595744680851064,0.0,2.792553191489361,0.0204574468085106,0.1356171542553191,1.3738005319148936,90.0,3.6085746337570193,1.950078003120126,100.0,100.0,55459.0,0.0,0.0,-3.0,3.0,-0.2,-0.2,0.8,530.0,False,,2023-09-22T11:30:08.275824Z,55459.jpg,False,,a,19,21.0,27670.0,0.0,92231.0,0.0,0.2,2.4,4.0,0.0,0.44,0.44,5.94,,,,0.0,0.0,0.09,0.09,1.24,2.3,659.0,148.0,264.0,84.0,534.0,176.0,298.0,122.0,0.84,0.0,Aaron Cresswell,2024-05-26 12:00:21.375523
1,2,Aaron,Hickey,0,0,87,2,,28.4,272,87,,0,2,6,12,0,12.9,283,96,66.6,256,105,713,45,0,0,,0,1.9,0,0,0.3,37.0,208,53,17,Hickey,5,Brentford,10,23-24,0.0,0.0,1.1099999999999994,83.0,2.2,1.9,1.796159550383437,1.72908310503375,1.6395448613642791,1.549170811133668,1.2456595382129418,1.277442541286648,1.2961323903817912,1.3030545004556429,1.9,2.2,1.6864944676835976,1.6423738154414915,1.5655939637959757,1.5536080370111702,1.098588996899804,1.2439908072520565,1.2635921162904842,1.1991429286704858,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.17734413524852,0.0264550071487187,10.512172010153863,3.3688352708164824,2.3888922902730862,0.0,1.2180926890805994,0.0,3.676936162936268,0.0211954074553486,0.0096873210317723,1.1309843036284073,79.59741319836857,2.526122822978454,0.0606479589967983,12.305991405103672,4.759719043209627,2.4175857245395123,0.0,1.2886294819775717,0.0,3.8240362615094856,0.0225251428896468,0.0146042137828587,1.0929986191192411,78.33604398172493,2.707357317895009,0.0843465020483465,13.684284655073045,5.603176394116904,2.4713892952274885,0.0,1.3515265102144842,0.0,3.855375182444928,0.0233085330311715,0.016622006207954,1.0702130461162578,77.58719700738718,2.8190387906177743,0.0974413694082713,14.461717802396327,6.025867596700537,2.4998025519055544,0.0,1.3940831509456897,0.0,3.870463776765065,0.0237467681540435,0.0173643893549378,1.059382850767546,77.20857038437006,2.8778212790554223,2.0,275.0,115.8,48.0,0.0,26.0,0.0,70.0,0.4599999999999998,0.3399999999999997,19.94,1460.0,52.87008573169947,0.1232876712328767,16.95205479452055,7.138356164383562,2.958904109589041,0.0,1.6027397260273972,0.0,4.315068493150685,0.0283561643835616,0.020958904109589,1.2291780821917806,90.0,3.259114873871885,0.0,100.0,100.0,472713.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,104.0,False,Knock - 75% chance of playing,2023-10-07T19:30:08.561839Z,472713.jpg,False,,a,4,94.0,22604.0,1352.0,28337.0,601.0,0.4,3.8,9.0,0.2,0.13,0.33,10.2,,,,0.03,0.0,0.02,0.05,1.29,1.51,426.0,87.0,150.0,50.0,249.0,87.0,280.0,109.0,1.14,0.25,Aaron Hickey,2023-11-03 21:12:18.635816
2,4,Aaron,Ramsdale,0,0,90,2,,0.0,704,87,,0,1,3,5,0,7.3,446,30,73.2,391,30,540,45,0,0,,0,3.3,0,9,5.7,0.0,687,81,20,Ramsdale,0,Arsenal,28,23-24,0.0,0.0,0.9699999999999998,90.0,1.3,1.0,2.492295040577865,2.275929543551916,2.087048669791806,1.942492548331522,0.410102515800777,0.5815841924312327,0.7598716625290991,0.9037737777088488,1.0,1.3,1.3278633801050232,1.4212092259147342,1.4974767507199551,1.500861503610427,1.866809423328164,1.7103330713218197,1.558054314894723,1.4597138065615225,1.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.211948123417624,0.0,16.14839900527272,0.0010830837374062,3.5431188049389,0.0,1.0087439688093796,1.9230246967300968,1.288521650894319e-07,0.0,0.0008368807784899,1.0112790116529329,90.0,3.789068365788356,0.0,19.38462574300747,0.0189905962907321,3.5980302722122293,0.0,1.432397160956401,2.5983107215871017,0.0001740889743378,0.0,0.0008412434860564,1.0989176601067994,90.0,4.093285067461479,0.0,22.33994436364301,0.0726244066591246,3.784628893073376,0.0,1.6954777495907216,3.268325255352652,0.0033526438104475,0.0,0.0010894966749982,1.180261813651838,90.0,4.399516588692108,0.0,23.25193528038815,0.117618745023475,3.85317745386311,0.0,1.7670238474042703,3.627505853675672,0.0110279595007621,0.0,0.0013599101191542,1.257488929627206,90.0,4.476464051962092,0.0,1674.0,11.0,282.0,0.0,130.0,284.0,2.0,0.0,0.1157499999999999,102.1787,6750.0,320.25825977952184,0.0,22.32,0.1466666666666666,3.76,0.0,1.7333333333333334,3.786666666666667,0.0266666666666666,0.0,0.0015433333333333,1.3623826666666667,90.0,4.270110130393625,,,,225321.0,0.0,0.0,-5.0,5.0,0.0,1.8,0.8,17.0,False,,,225321.jpg,False,,a,1,3.0,280487.0,748.0,1494964.0,2012.0,0.2,4.4,6.0,0.0,0.01,0.01,5.81,,,,0.0,1.5,0.0,0.0,0.97,0.83,389.0,21.0,264.0,21.0,111.0,13.0,64.0,13.0,1.0,0.33,Aaron Ramsdale,2024-03-12 17:00:24.922341
3,6,Aaron,Wan-Bissaka,2,5,323,3,,196.5,203,48,,1,2,6,34,0,65.5,246,75,397.8,189,66,1778,44,0,0,,0,2.1,0,0,2.0,60.0,336,110,47,Wan-Bissaka,4,Manchester Utd,38,23-24,0.0,0.01,1.5499999999999972,90.0,1.3,1.7,1.3516357359558089,1.4455295530799244,1.5316325610189725,1.5774312994764137,1.977949168773553,1.95876876955245,1.830477599708704,1.6686423248234503,1.7,1.3,1.275432273639437,1.300543560971188,1.446234235757316,1.5426101770242628,1.5238531134981623,1.492826639742666,1.461103069216364,1.4000552374995832,0.0,0.0,50.0,31.40000000000001,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,5.040698530596793,0.0684740892555292,19.92867428253625,15.096692371290692,2.213879808944676,1.5269331284111596e-06,2.3741546579967605,0.0,4.250628394840668,0.0026655855302859,0.0299264337770618,1.7633161560256143,88.2073766252632,2.856382890597643,0.0742037778644594,17.71148524690899,12.503080199847211,2.1740618923028534,0.000465292526277,1.9796141973004997,0.0,4.565448978587432,0.0117018439026284,0.0411758803269867,1.702545398969439,84.84636566207855,2.772683250452093,0.0700596810945375,18.09024481383448,12.429088442745211,2.4648656109923954,0.0051193616143471,1.689967289371214,0.0,5.453534570517438,0.0213705851272863,0.0536822890530027,1.5653609124197714,83.70887219579771,3.003956122816496,0.0695086184563074,19.121977211659416,13.038878284941728,2.754393912861113,0.0136122567042961,1.53903876965256,0.0,5.939866605670085,0.0262242711994207,0.0599416324766866,1.4611209212300702,84.29974216793688,3.2507114095023697,5.0,1419.0,950.7,218.0,2.0,98.0,0.0,429.0,2.08,4.44,94.86,6006.0,244.97308079477853,0.0749250749250749,21.263736263736263,14.246253746253746,3.2667332667332665,0.0299700299700299,1.4685314685314683,0.0,6.428571428571428,0.0311688311688311,0.0665334665334665,1.4214785214785215,90.0,3.6709252866350432,0.9615384615384616,100.0,100.0,214590.0,0.0,0.0,-1.0,1.0,1.2,2.2,2.2,401.0,False,Knock - 75% chance of playing,2024-01-29T07:30:10.031937Z,214590.jpg,False,,a,14,1.0,630927.0,0.0,739389.0,0.0,0.5,10.7,20.0,0.11,1.47,1.58,38.57,,,,0.01,0.0,0.07,0.08,1.95,1.72,549.0,100.0,151.0,44.0,283.0,91.0,139.0,58.0,1.01,0.15,Aaron Wan-Bissaka,2024-05-26 12:00:21.375523
4,7,Abdoulaye,Doucouré,3,7,335,12,,456.5,79,61,,2,3,1,36,7,161.0,67,48,462.4,160,72,2632,55,0,0,,0,3.6,0,0,0.5,687.0,40,22,116,A.Doucoure,7,Everton,38,23-24,0.0,0.02,2.759999999999998,90.0,0.6,2.9,1.3757386023683702,1.3482276083075055,1.359254723960263,1.325716791753511,1.251881715412126,1.3977478815136126,1.4650921890729005,1.5035246963007196,2.9,0.6,2.030692501961622,2.0300160239960685,1.992260188793584,1.9158021965351275,0.8568361119342924,0.7897017215443051,0.8126146128295754,0.8996444560606153,0.0,0.0,4.0,3.8000000000000114,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1152033672972617,0.068651813216617,8.098493941469151,9.65575152479141,3.5363489775201224,0.1745129980811834,1.0144142724301333,0.0,18.04273979563055,0.3218184128059474,0.0398007414980604,1.3937532130999697,78.95611141330845,3.523879546771767,0.0811728648632528,8.368444278289164,11.026733340486349,3.5573592770294984,0.1626201120504471,1.0310647611587114,0.0,17.690157765299816,0.2647158989922298,0.0407797753222479,1.341456944763228,79.78986140962364,3.363037328851879,0.0874163779998564,9.198316835600169,12.37534259502671,3.6490694875516185,0.1835613972717549,1.0599270322750212,0.0,18.964127862047285,0.2573540572693017,0.0428353070136457,1.3222694112879323,80.80925016626038,3.4173277524344847,0.0907216060897644,9.80323259191353,13.266311949220093,3.714463369240529,0.2003463742794137,1.087195137693559,0.0,20.08978947359197,0.2621084852605723,0.0447294511191486,1.3185165490492634,81.49347577055484,3.4911319128713285,13.0,1281.0,1244.5,305.0,16.0,131.0,0.0,1481.0,14.429999999999998,6.609999999999999,119.75,7152.0,278.3734395402957,0.1635906040268456,16.11996644295302,15.660654362416109,3.838087248322148,0.2013422818791946,1.648489932885906,0.0,18.63674496644295,0.1815855704697986,0.0831795302013422,1.5069211409395973,90.0,3.503021470725197,1.108801108801109,100.0,100.0,121599.0,0.0,0.0,0.0,0.0,3.0,2.2,3.2,249.0,False,Hamstring injury - Unknown return date,2024-01-25T18:00:09.222232Z,121599.jpg,False,,a,8,11.0,428643.0,0.0,418969.0,0.0,0.6,21.1,32.0,8.7,1.51,10.21,42.26,,,,0.3,0.0,0.05,0.35,1.45,1.23,98.0,57.0,95.0,46.0,77.0,41.0,246.0,74.0,1.09,0.41,Abdoulaye Doucouré,2024-05-26 12:00:21.375523
5,9,Adam,Armstrong,1,3,161,1,,148.8,229,34,,0,4,5,24,2,60.7,249,40,176.2,330,37,1321,53,0,0,,0,1.8,0,0,0.7,292.0,128,40,54,A.Armstrong,2,Southampton,38,22-23,0.1200000000000001,0.0,2.379999999999999,27.0,1.8,4.0,1.0123713705701642,0.9971175603223904,1.0080893339180783,1.0496427840797735,2.062474093772757,1.867827474612948,1.700506286360114,1.6026570578285604,4.0,1.8,1.8372241359986672,1.901410189851302,1.929213242374264,1.9798234632382408,1.0264125438654266,1.1663759026908191,1.2044429172193754,1.1759623506721704,1.0,0.0,25.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,1.9199204957699023,0.0021726684986599,7.854538119970792,2.072564739097312,1.897793227550325,0.2046916043158349,0.9036561345157432,0.0,9.591705389859506,0.0781808909213498,0.0041413715965084,1.1428415510257606,31.530333592689527,1.5120497289642292,0.0211064981517521,5.909766087855092,2.711611829272092,1.7240473759248838,0.1180551014445679,0.9524398836162722,0.0,11.716208314617138,0.0961477510622312,0.0147403740557119,1.221215636784032,38.87245767238127,1.7080844943533973,0.0494927980942045,5.643301922404478,3.904981013042582,1.8440060419886044,0.0926289311607599,1.0427444348296395,0.0,15.161203183324876,0.1171511120492315,0.0297890613542672,1.3055902883432526,45.31379896561906,1.961122576722202,0.0692254346417026,5.805723123186842,4.778246584042159,1.9761844352718203,0.0885931345285537,1.0974596708507816,0.0,17.58215537498695,0.1306760997562732,0.0402893902138665,1.3501350063831128,49.38538551212628,2.1283231122115414,3.0,203.0,190.2,73.0,3.0,38.0,0.0,669.0,4.928099999999999,1.7660299999999995,47.2837,1830.0,76.1607837657428,0.1475409836065573,9.98360655737705,9.35409836065574,3.5901639344262297,0.1475409836065573,1.8688524590163933,0.0,32.90163934426229,0.2423655737704917,0.0868539344262294,2.325427868852459,90.0,3.745612316348007,0.6087538808059902,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Armstrong,
6,12,Adam,Lallana,1,0,95,2,5.0,248.7,171,112,,0,3,1,13,0,45.8,309,145,83.0,413,176,839,49,0,0,,0,1.2,0,0,0.0,130.0,244,132,30,Lallana,2,Southampton,38,23-24,0.3099999999999999,0.05,0.2900000000000009,56.0,1.7,1.3,1.275432273639437,1.300543560971188,1.446234235757316,1.5426101770242628,1.5238531134981623,1.492826639742666,1.461103069216364,1.4000552374995832,1.3,1.7,1.3516357359558089,1.4455295530799244,1.5316325610189725,1.5774312994764137,1.977949168773553,1.95876876955245,1.830477599708704,1.6686423248234503,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.7000627504026085,0.0056979120061684,3.45318895510204,9.996439923636242,1.1612234314198209,9.359268314127376e-07,0.6254239462952612,0.0,7.407517138110428,0.0858822856509861,0.0550512899405753,0.3825067530794697,36.33537244870923,1.6919409451190162,0.0210125303622297,4.17529878797094,9.686706917706534,1.2160978265072062,0.0003064184381318,0.5741377409700055,0.0,6.487838063312854,0.0587014869941588,0.0610067448879218,0.4654970933618255,35.6391416488276,1.593456288936134,0.0326302964165394,5.659814417994582,9.675145503227744,1.3744295675241485,0.003083364698585,0.6221787988610042,0.0,6.788498221967883,0.0514177308906148,0.0589216911320265,0.6255793564195937,40.9260416293034,1.6809962749279037,0.0373882330007822,6.923160940228343,9.875637171658363,1.528225322781418,0.0074183247914943,0.6634819537260783,0.0,7.420479452341284,0.0538508840408553,0.0597131625208182,0.7479775013631881,46.19226953774311,1.827896911967443,3.0,604.0,770.5999999999999,128.0,1.0,51.0,0.0,611.0,4.481999999999999,5.089189999999999,64.6802,3876.0,150.30459889792832,0.0696594427244582,14.024767801857584,17.89318885448916,2.9721362229102164,0.023219814241486,1.1842105263157894,0.0,14.187306501547988,0.1040712074303405,0.1181700464396284,1.501862229102167,90.0,3.490044866050967,0.2231146809460062,100.0,100.0,39155.0,0.0,0.0,-1.0,1.0,0.2,0.2,0.2,138.0,False,,2024-05-03T13:30:09.715868Z,39155.jpg,False,,a,17,36.0,6082.0,0.0,10200.0,0.0,0.0,6.1,13.0,0.83,1.6,2.43,12.13,,,,0.09,0.0,0.17,0.26,1.3,1.39,217.0,136.0,379.0,174.0,442.0,200.0,536.0,182.0,1.39,0.21,Adam Lallana,2024-05-26 12:00:21.375523
7,14,Adam,Smith,3,4,378,8,,296.5,133,25,,1,2,6,33,0,66.1,242,72,336.4,222,83,2148,44,0,0,,0,2.9,0,0,0.5,27.0,402,144,80,Smith,6,Bournemouth,37,23-24,0.0,0.01,0.7800000000000011,80.0,0.7,1.1,1.421365634288461,1.49065108411923,1.4546620536370585,1.3729054697722758,1.6209632940096257,1.4961323580119763,1.507337055077396,1.554820839409521,1.1,0.7,1.3510883419724216,1.415170427973805,1.4727065150661351,1.48730644369109,1.1847670729985489,1.3566746510966627,1.4124552356496929,1.3997294766554085,1.0,0.0,20.0,2.300000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1625211278436294,0.0384122033296434,15.35910808277241,9.512124495643729,3.5972527923068607,0.0,0.8978347998306493,0.0,0.8639376585474897,0.004277771142375,0.0329143173434174,1.4071016297150054,81.39189134927665,2.709389656705496,0.0706147277097282,14.518016836458909,10.718009128233993,3.200797870617959,0.0,1.074367593436937,0.0,1.0670758880179465,0.003300065000906,0.042291634225045,1.307710600508419,80.77434583788381,2.7915217642113577,0.0897428412920724,14.03119519478643,10.803143844461538,2.985648384537779,0.0,1.1442045419612858,0.0,1.063400031758947,0.0025617368304738,0.0475528797323843,1.2469888481408993,79.47071921895865,2.820746047005453,0.0989166033519271,13.772443774699669,10.724246268197769,2.8827396114627786,0.0,1.1662805535622065,0.0,1.024300754321726,0.002168379602447,0.0504776697585994,1.2135431417582188,78.29291348081512,2.8252334613357144,3.0,378.0,296.5,78.0,0.0,33.0,0.0,27.0,0.05,1.5,33.02,2148.0,76.12200024345051,0.1256983240223463,15.837988826815645,12.423184357541896,3.2681564245810057,0.0,1.38268156424581,0.0,1.1312849162011174,0.0020949720670391,0.0628491620111731,1.383519553072626,90.0,3.189469283943457,0.0,100.0,100.0,54469.0,0.0,0.0,-1.0,1.0,3.8,3.8,3.8,84.0,False,,2024-01-22T01:00:09.769539Z,54469.jpg,False,,a,3,91.0,134262.0,410.0,89080.0,4355.0,0.9,18.2,25.0,0.05,1.5,1.55,33.02,,,,0.0,0.0,0.06,0.06,1.38,1.38,519.0,83.0,75.0,23.0,166.0,40.0,246.0,97.0,1.05,0.34,Adam Smith,2024-05-19 12:13:16.666579
8,15,Adam,Webster,0,2,212,2,,89.3,322,105,,0,2,1,22,0,39.7,336,119,252.2,291,108,1142,42,1,0,,0,1.7,0,0,0.3,54.0,346,114,26,Webster,2,Brighton,38,23-24,0.13,0.04,1.1999999999999993,90.0,1.7,1.3,1.275432273639437,1.300543560971188,1.446234235757316,1.5426101770242628,1.5238531134981623,1.492826639742666,1.461103069216364,1.4000552374995832,1.3,1.7,1.3516357359558089,1.4455295530799244,1.5316325610189725,1.5774312994764137,1.977949168773553,1.95876876955245,1.830477599708704,1.6686423248234503,1.0,0.0,37.0,4.700000000000003,0.0,5.0,0.0,0.0,0.0,0.0,22.0,0.0,5.910939603107289,0.0,20.61672316554876,8.113655964902534,2.3615263176648247,0.0024511478269747,1.8813828762087093,0.0,6.698296215646322,0.0431374903793935,0.0249371219226631,0.7770811083626418,69.99140128215979,3.646699877282,0.0,20.35176366409958,7.488639822964843,2.160912727079593,0.0205748219509661,1.7309657107554062,0.0,6.1873121150273,0.0384197094902346,0.0195577605857219,0.9063186322746865,70.1283938319781,3.336662914837721,0.0,20.172615248924835,6.34344127182915,2.205469324299417,0.041795451617944,1.5998461878303258,0.0,6.495235124244586,0.0358530172533514,0.0146344663832244,0.970540268671132,71.86116291736363,3.2303623307604634,0.0,19.57855115500992,5.526621988105624,2.300485669989293,0.0499671759388867,1.490142163024001,0.0,6.866494416952271,0.0353307871028114,0.0122105953079174,0.9968186772636852,74.20380123320821,3.2082768908682944,0.0,1095.0,280.0,147.0,3.0,81.0,0.0,440.0,2.2099999999999995,0.6499999999999999,62.13000000000001,4738.0,190.19130992898607,0.0,20.79991557619249,5.318699873364289,2.7923174335162515,0.0569860700717602,1.5386238919375264,0.0,8.357956943858168,0.0419797382861966,0.0123469818488813,1.1801815111861549,90.0,3.6127517715510233,1.3574660633484166,100.0,100.0,110735.0,0.0,0.0,-3.0,3.0,2.4,2.6,2.6,153.0,False,,2024-04-05T16:00:09.080306Z,110735.jpg,False,,a,5,36.0,44099.0,0.0,41781.0,0.0,0.6,6.2,13.0,0.5,0.33,0.83,18.16,,,,0.04,0.0,0.03,0.07,1.43,1.73,666.0,153.0,124.0,34.0,365.0,127.0,287.0,117.0,1.02,0.16,Adam Webster,2024-05-26 12:00:21.375523
9,16,Adam,Wharton,3,4,222,7,4.0,287.9,144,97,,0,3,3,16,0,57.3,265,130,255.0,289,120,1296,50,0,0,,0,3.1,0,0,0.0,29.0,394,198,50,Wharton,2,Crystal Palace,38,23-24,0.0,0.06,1.0799999999999983,86.0,2.5,0.9,1.6229646924131975,1.423612631170648,1.294788582871071,1.2085202859344124,1.199452767577169,1.2848251082587656,1.3168383478080867,1.3075685960177967,0.9,2.5,1.5498550283711263,1.5542735741754277,1.5748803530491835,1.5218482295642668,1.891754035701137,1.778190921921956,1.623284111093568,1.5122609540769818,1.0,0.0,13.0,7.399999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5912409141102235,0.3131576440567641,13.976101359488764,14.72762592245896,3.8666904057913727,0.0,0.6324006520792647,0.0,1.7202883102791435,0.0210267271357393,0.0760784175403313,1.112194993413191,84.83825774562561,2.689329609855497,0.2586598897810472,13.975255751837016,16.357476307100395,3.605405637697246,0.0,0.7989131190504813,0.0,1.8674669519796996,0.0231856220100488,0.0870528217786557,1.1271943814089334,83.03684200452444,2.6988860534826253,0.2237749287021521,13.931947593995146,17.20809836760395,3.4321762169920125,0.0,0.8961326707444781,0.0,1.8632928648365448,0.0236897471324512,0.091214982921051,1.1294060609275105,82.01927713747243,2.695888669424668,0.2056151940770899,13.904343772035542,17.613733324957913,3.3411799370021456,0.0,0.9474078760094236,0.0,1.843054276999132,0.0237748376864375,0.0927067737521533,1.1289189150983363,81.50600549563048,2.6921378773453446,3.0,222.0,287.9,52.0,0.0,16.0,0.0,29.0,0.38,1.5,18.04,1296.0,42.99078276636405,0.2083333333333333,15.416666666666668,19.993055555555557,3.611111111111111,0.0,1.1111111111111112,0.0,2.013888888888889,0.0263888888888888,0.1041666666666666,1.2527777777777778,90.0,2.985471025441948,0.0,,,496221.0,0.0,0.0,0.0,0.0,3.5,4.3,4.8,807.0,False,,,496221.jpg,False,,a,7,31.0,4300.0,0.0,2077.0,0.0,1.0,10.0,15.0,0.38,1.5,1.87,18.04,,,,0.03,0.0,0.1,0.13,1.25,1.11,210.0,130.0,42.0,21.0,145.0,65.0,606.0,219.0,1.04,0.49,Adam Wharton,2024-05-26 12:00:21.375523
