,name,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,gameweek,season,data_retrieved_datetime,scout_risks
0,Marco Bizot,True,True,,,72147.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,1.8,7.0,Marco,7.0,33.0,False,,,45.0,72147.jpg,7.0,False,Bizot,0.5,False,,a,2.0,7.0,7.0,7887.0,7887.0,1421.0,1421.0,1.6,1.6,M.Bizot,152.0,2025-07-15,1991-03-10,False,p72147,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,19.6,0.0,0.0,2.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.43,50.0,9.0,284.0,49.0,245.0,49.0,100.0,9.0,,,,,,,0.0,3.0,0.0,0.0,1.43,0.0,363.0,19.0,21.0,4.0,21.0,4.0,240.0,33.0,1.0,1.0,0.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
1,Matty Cash,True,True,,,199796.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,1.4,8.0,Matty,8.0,36.0,False,,,45.0,199796.jpg,8.0,False,Cash,2.6,False,,a,2.0,7.0,8.0,41289.0,41289.0,3059.0,3059.0,1.8,1.8,Cash,172.0,2020-09-03,1997-08-07,False,p199796,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,37.6,1.1,2.0,4.1,9.0,2.0,2.0,11.0,1.0,0.0,0.0,0.0,1.43,14.0,3.0,122.0,43.0,90.0,23.0,52.0,12.0,,,,,,,0.0,0.0,0.0,0.0,1.43,0.0,394.0,88.0,15.0,6.0,15.0,6.0,104.0,36.0,1.0,1.0,11.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
2,Lucas Digne,True,True,,,101188.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,1.4,6.0,Lucas,6.0,37.0,False,,,45.0,101188.jpg,6.0,False,Digne,2.0,False,,a,2.0,7.0,6.0,8567.0,8567.0,1481.0,1481.0,1.3,1.3,Digne,73.0,2022-01-13,1993-07-20,False,p101188,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.6,5.8,0.0,1.7,5.0,3.0,2.0,7.0,1.0,0.0,0.01,0.01,1.43,86.0,37.0,72.0,21.0,250.0,117.0,109.0,36.0,7.0,,2.0,,,,0.0,0.0,0.01,0.01,1.43,0.0,369.0,70.0,26.0,9.0,26.0,9.0,128.0,44.0,1.0,1.0,7.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
3,Ezri Konsa Ngoyo,True,True,0.0,,199798.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4,3.0,Ezri,3.0,38.0,False,Suspended until 31 Aug,2025-08-16T19:30:05.327199Z,45.0,199798.jpg,3.0,False,Konsa Ngoyo,21.8,False,,s,2.0,7.0,3.0,14197.0,14197.0,87816.0,87816.0,0.7,0.7,Konsa,241.0,2019-07-11,1997-10-23,False,p199798,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.8,1.1,0.0,0.3,3.0,1.0,0.0,3.0,1.0,0.0,0.01,0.01,1.11,152.0,59.0,123.0,44.0,273.0,133.0,168.0,59.0,,,,,,,0.0,0.0,0.01,0.01,1.54,0.0,395.0,89.0,56.0,20.0,56.0,20.0,17.0,6.0,1.38,1.38,4.15,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
4,Tyrone Mings,True,True,,,149484.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,1.4,6.0,Tyrone,6.0,40.0,False,,,45.0,149484.jpg,6.0,False,Mings,1.0,False,,a,2.0,7.0,6.0,9325.0,9325.0,1218.0,1218.0,1.3,1.3,Mings,241.0,2019-07-08,1993-03-13,False,p149484,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,3.7,0.0,1.7,5.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,1.43,77.0,31.0,81.0,26.0,263.0,127.0,110.0,37.0,,,,,,,0.0,0.0,0.0,0.0,1.43,0.0,382.0,80.0,27.0,10.0,27.0,10.0,180.0,66.0,1.0,1.0,5.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
5,Morgan Rogers,True,True,100.0,100.0,244850.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,1.8,3.0,Morgan,3.0,47.0,False,,2025-08-10T22:00:04.458365Z,70.0,244850.jpg,3.0,False,Rogers,10.0,False,,a,2.0,7.0,3.0,15587.0,15587.0,26279.0,26279.0,0.4,0.4,Rogers,241.0,2024-02-01,2002-07-26,False,p244850,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.2,20.1,4.0,3.1,1.0,5.0,1.0,7.0,1.0,0.0,0.05,0.05,1.43,109.0,42.0,28.0,20.0,84.0,49.0,68.0,37.0,,,,,,,0.0,0.0,0.05,0.05,1.43,0.0,35.0,22.0,75.0,42.0,75.0,42.0,42.0,12.0,1.0,1.0,7.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
6,Youri Tielemans,True,True,,,166989.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1,1.6,3.0,Youri,3.0,48.0,False,,,60.0,166989.jpg,3.0,False,Tielemans,2.3,False,,a,2.0,7.0,3.0,3966.0,3966.0,6887.0,6887.0,0.5,0.5,Tielemans,21.0,2023-06-14,1997-05-07,False,p166989,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.1,0.0,0.5,3.0,2.0,2.0,7.0,1.0,0.0,0.01,0.01,1.43,128.0,55.0,125.0,71.0,622.0,262.0,161.0,77.0,3.0,,,,4.0,,0.0,0.0,0.01,0.01,1.43,0.0,86.0,59.0,68.0,35.0,68.0,35.0,112.0,37.0,1.0,1.0,7.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
7,Donyell Malen,True,True,,,204646.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,1.0,Donyell,1.0,53.0,False,,,55.0,204646.jpg,1.0,False,Malen,1.8,False,,a,2.0,7.0,1.0,1694.0,1694.0,16684.0,16684.0,0.2,0.2,Malen,152.0,2025-01-14,1999-01-19,False,p204646,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.1,140.0,63.0,576.0,238.0,35.0,22.0,103.0,49.0,,,,,,,0.45,0.0,0.0,0.45,1.5,0.0,144.0,95.0,148.0,77.0,148.0,77.0,134.0,43.0,0.0,0.0,0.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
8,John McGinn,True,True,,,122806.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,3.0,John,3.0,54.0,False,,,55.0,122806.jpg,3.0,False,McGinn,0.7,False,,a,2.0,7.0,3.0,2028.0,2028.0,2268.0,2268.0,0.5,0.5,McGinn,243.0,2018-08-08,1994-10-18,False,p122806,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,19.3,6.0,3.0,0.0,7.0,0.0,7.0,1.0,0.0,0.09,0.09,1.33,120.0,49.0,30.0,21.0,64.0,36.0,71.0,38.0,6.0,,6.0,,,,0.0,0.0,0.1,0.1,1.44,0.0,124.0,80.0,63.0,31.0,63.0,31.0,218.0,70.0,1.08,1.08,7.59,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
9,Boubacar Kamara,True,True,,,226944.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.0,2.0,Boubacar,2.0,58.0,False,,,50.0,226944.jpg,2.0,False,Kamara,0.2,False,,a,2.0,7.0,2.0,779.0,779.0,749.0,749.0,0.4,0.4,Kamara,73.0,2022-06-11,1999-11-23,False,p226944,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.8,2.2,17.0,3.3,3.0,6.0,2.0,11.0,1.0,0.05,0.03,0.08,1.43,71.0,28.0,97.0,60.0,34.0,21.0,64.0,34.0,,,,,,,0.05,0.0,0.03,0.08,1.43,0.0,277.0,172.0,93.0,50.0,93.0,50.0,353.0,116.0,1.0,1.0,11.0,Aston Villa,1.0,25-26,2025-08-17 10:49:52.276645,
